Fecha Local,Fecha UTC,Direcci�n del Viento (grados),Direcci�n de r�faga (grados),Rapidez de viento (km/h),Rapidez de r�faga (km/h),Temperatura del Aire (�C),Humedad relativa (%),Presi�n Atmosf�rica (hpa),Precipitaci�n (mm),Radiaci�n Solar (W/m�)
11/28/2022 02:40,11/28/2022 08:40,346,333,5.5,6.8,13,99,780,0,0
11/28/2022 02:30,11/28/2022 08:30,355,14,4.5,6.2,13.2,96,780,0,0
11/28/2022 02:20,11/28/2022 08:20,295,290,5.1,6.8,13.2,92,780.1,0,0
11/28/2022 02:10,11/28/2022 08:10,263,253,5.7,7.9,13.2,92,780.1,0,0
11/28/2022 02:00,11/28/2022 08:00,276,274,5.5,9.7,13.3,92,780.2,0,0
11/28/2022 01:50,11/28/2022 07:50,261,261,4.8,6.2,13.6,91,780.3,0,0
11/28/2022 01:40,11/28/2022 07:40,255,252,3.1,4.5,13.7,90,780.4,0,0
11/28/2022 01:30,11/28/2022 07:30,256,256,6.2,9.1,13.7,89,780.5,0,0
11/28/2022 01:20,11/28/2022 07:20,270,249,4.3,6.2,13.8,90,780.5,0,0
11/28/2022 01:10,11/28/2022 07:10,268,258,4.3,6.8,14,88,780.6,0,0
11/28/2022 01:00,11/28/2022 07:00,261,250,4.8,9.1,14.1,90,780.6,0,0
11/28/2022 00:50,11/28/2022 06:50,272,261,3.4,5.6,14.3,91,780.6,0,0
11/28/2022 00:40,11/28/2022 06:40,264,261,3.5,7.9,14.5,93,780.6,0,0
11/28/2022 00:30,11/28/2022 06:30,274,270,0,0,14.6,92,780.7,0,0
11/28/2022 00:20,11/28/2022 06:20,281,270,2.3,4.5,14.8,92,780.7,0,0
11/28/2022 00:10,11/28/2022 06:10,260,301,4.5,7.4,14.9,93,780.8,0,0
11/28/2022 00:00,11/28/2022 06:00,258,249,4.1,8.5,15.1,94,781,0,0
11/27/2022 23:50,11/28/2022 05:50,246,238,2.9,4.5,15.2,94,781,0,0
11/27/2022 23:40,11/28/2022 05:40,249,233,1.9,4.5,15.1,96,781.1,0,0
11/27/2022 23:30,11/28/2022 05:30,297,215,0,0,15.2,97,781.1,0,0
11/27/2022 23:20,11/28/2022 05:20,225,215,2.9,5.6,15.4,97,781.1,0,0
11/27/2022 23:10,11/28/2022 05:10,190,213,2.6,6.8,15.3,98,781.1,0,0
11/27/2022 23:00,11/28/2022 05:00,222,227,5.6,9.1,15.4,95,781.1,0,0
11/27/2022 22:50,11/28/2022 04:50,228,229,6.5,10.2,15.4,95,781.1,0,0
11/27/2022 22:40,11/28/2022 04:40,225,226,6.3,8.5,15.5,93,781.1,0,0
11/27/2022 22:30,11/28/2022 04:30,243,250,6.5,7.9,15.4,93,781.2,0,0
11/27/2022 22:20,11/28/2022 04:20,250,240,4.4,8.5,15.3,96,781.3,0,0
11/27/2022 22:10,11/28/2022 04:10,294,301,5,7.9,15.4,95,781.2,0,0
11/27/2022 22:00,11/28/2022 04:00,295,296,4.6,9.1,15.5,94,781.1,0,0
11/27/2022 21:50,11/28/2022 03:50,337,318,1.7,2.8,15.6,93,781,0,0
11/27/2022 21:40,11/28/2022 03:40,329,328,4.9,6.8,15.5,94,781,0,0
11/27/2022 21:30,11/28/2022 03:30,339,337,6.2,10.2,15.5,94,781,0,0
11/27/2022 21:20,11/28/2022 03:20,330,314,7.3,10.2,15.6,95,780.9,0,0
11/27/2022 21:10,11/28/2022 03:10,328,330,7.5,10.2,15.7,95,780.8,0,0
11/27/2022 21:00,11/28/2022 03:00,296,315,5.7,7.9,15.7,94,780.8,0,0
11/27/2022 20:50,11/28/2022 02:50,280,295,4.9,7.4,15.9,92,780.7,0,0
11/27/2022 20:40,11/28/2022 02:40,302,292,6,7.9,16,92,780.6,0,0
11/27/2022 20:30,11/28/2022 02:30,277,291,6.6,10.8,16.1,94,780.6,0,0
11/27/2022 20:20,11/28/2022 02:20,248,254,4.8,9.7,16.2,93,780.4,0,0
11/27/2022 20:10,11/28/2022 02:10,212,171,0,0,16.3,94,780.3,0,0
11/27/2022 20:00,11/28/2022 02:00,130,171,3.7,5.6,16.2,93,780.2,0,0
11/27/2022 19:50,11/28/2022 01:50,190,189,8.3,10.8,16.1,96,780.2,0,0
11/27/2022 19:40,11/28/2022 01:40,187,198,6.9,10.2,16.4,94,780.1,0,0
11/27/2022 19:30,11/28/2022 01:30,229,224,7.1,9.7,16.4,89,780.2,0,0
11/27/2022 19:20,11/28/2022 01:20,248,248,7.7,10.2,16.5,88,780.1,0,0
11/27/2022 19:10,11/28/2022 01:10,259,247,6.9,10.2,16.9,82,780.1,0.25,0
11/27/2022 19:00,11/28/2022 01:00,266,272,5.9,9.1,17.2,78,780,0,0
11/27/2022 18:50,11/28/2022 00:50,248,252,10,17.2,17.2,75,779.8,0,0
11/27/2022 18:40,11/28/2022 00:40,262,234,6.3,11.4,17.4,77,779.6,0,0
11/27/2022 18:30,11/28/2022 00:30,27,35,8.4,10.8,17.3,75,779.4,0,0
11/27/2022 18:20,11/28/2022 00:20,15,23,7.6,9.1,17.4,73,779.3,0,0
11/27/2022 18:10,11/28/2022 00:10,349,326,6.2,10.8,17.3,69,779.3,0,0
11/27/2022 18:00,11/28/2022 00:00,334,290,5.4,9.1,17.7,67,779.1,0,0
11/27/2022 17:50,11/27/2022 23:50,113,139,4.4,8.5,17.4,64,778.9,0,0
11/27/2022 17:40,11/27/2022 23:40,142,133,7.7,11.4,17,68,778.7,0,0
11/27/2022 17:30,11/27/2022 23:30,98,85,14.7,22.3,17.2,67,778.6,0,0
11/27/2022 17:20,11/27/2022 23:20,32,83,10.4,25.2,18,61,778.9,0.25,0
11/27/2022 17:10,11/27/2022 23:10,307,299,11.2,18.9,18.8,57,778.9,0.25,0
11/27/2022 17:00,11/27/2022 23:00,275,274,11.8,31,19.5,53,778.7,0,11
11/27/2022 16:50,11/27/2022 22:50,244,287,10.5,14.9,19.9,56,778.4,0,20
11/27/2022 16:40,11/27/2022 22:40,238,231,8.4,14.9,20.3,52,778.2,0,27
11/27/2022 16:30,11/27/2022 22:30,217,215,8.4,12,20.4,49,778.1,0,31
11/27/2022 16:20,11/27/2022 22:20,201,177,7.7,11.4,20.2,52,778.1,0,31
11/27/2022 16:10,11/27/2022 22:10,219,212,10.9,17.2,20.3,57,778,0,66
11/27/2022 16:00,11/27/2022 22:00,239,208,8.8,17.7,21.5,57,777.8,0.25,87
11/27/2022 15:50,11/27/2022 21:50,187,205,9.6,21.2,22.4,49,777.8,0,147
11/27/2022 15:40,11/27/2022 21:40,160,167,9.1,14.3,22.4,49,777.8,0,121
11/27/2022 15:30,11/27/2022 21:30,158,160,12.8,22.3,22.9,48,777.9,0,118
11/27/2022 15:20,11/27/2022 21:20,359,175,4.9,16,23.9,42,777.9,0,132
11/27/2022 15:10,11/27/2022 21:10,295,307,7.2,14.9,24.2,40,778,0,452
11/27/2022 15:00,11/27/2022 21:00,248,240,8,12.5,24,41,778,0,586
11/27/2022 14:50,11/27/2022 20:50,187,182,7.4,10.2,23.8,42,778,0,578
11/27/2022 14:40,11/27/2022 20:40,19,233,5.3,10.2,23.6,42,778.2,0,524
11/27/2022 14:30,11/27/2022 20:30,340,330,7.9,12.5,23.7,43,778.3,0,685
11/27/2022 14:20,11/27/2022 20:20,324,331,6.9,14.3,23.7,43,778.4,0,689
11/27/2022 14:10,11/27/2022 20:10,8,324,6.7,12.5,23.7,43,778.5,0,660
11/27/2022 14:00,11/27/2022 20:00,150,188,7.3,13.1,23.5,44,778.6,0,711
11/27/2022 13:50,11/27/2022 19:50,214,218,5.8,10.8,23.9,44,778.7,0,695
11/27/2022 13:40,11/27/2022 19:40,255,186,6.5,13.1,23.6,44,778.9,0,731
11/27/2022 13:30,11/27/2022 19:30,248,217,4.7,9.7,23.5,45,779.1,0,762
11/27/2022 13:20,11/27/2022 19:20,139,186,5.5,9.7,22.8,47,779.3,0,751
11/27/2022 13:10,11/27/2022 19:10,115,81,2.8,9.1,22.5,48,779.5,0,579
11/27/2022 13:00,11/27/2022 19:00,204,210,6.6,10.2,22.6,48,779.7,0,606
11/27/2022 12:50,11/27/2022 18:50,205,209,6.1,11.4,22.7,48,779.9,0,782
11/27/2022 12:40,11/27/2022 18:40,74,41,5.3,7.4,22,49,780.1,0,780
11/27/2022 12:30,11/27/2022 18:30,20,39,7.1,10.2,21.6,52,780.2,0,809
11/27/2022 12:20,11/27/2022 18:20,31,55,8.5,14.9,21.9,51,780.4,0,798
11/27/2022 12:10,11/27/2022 18:10,292,234,4.8,9.1,21.7,50,780.6,0,789
11/27/2022 12:00,11/27/2022 18:00,58,39,6.9,11.4,21.3,53,780.7,0,788
11/27/2022 11:50,11/27/2022 17:50,69,119,9,16.6,21.2,54,780.8,0,817
11/27/2022 11:40,11/27/2022 17:40,37,57,8.2,16,21.4,56,780.9,0,806
11/27/2022 11:30,11/27/2022 17:30,257,347,5.2,10.8,20.9,56,781.1,0,773
11/27/2022 11:20,11/27/2022 17:20,11,38,5.5,9.1,20.1,58,781.3,0,734
11/27/2022 11:10,11/27/2022 17:10,35,21,8.4,14.9,20.4,59,781.4,0,733
11/27/2022 11:00,11/27/2022 17:00,19,18,4.8,13.1,20.7,59,781.5,0,739
11/27/2022 10:50,11/27/2022 16:50,63,94,5.9,10.8,19.9,61,781.5,0,714
11/27/2022 10:40,11/27/2022 16:40,37,55,6.6,12.5,19.8,62,781.6,0,679
11/27/2022 10:30,11/27/2022 16:30,328,289,3.5,6.8,19.7,62,781.7,0,659
11/27/2022 10:20,11/27/2022 16:20,1,7,3.8,7.9,19.4,63,781.7,0,638
11/27/2022 10:10,11/27/2022 16:10,110,125,3.2,5.6,18.7,65,781.8,0,621
11/27/2022 10:00,11/27/2022 16:00,85,50,6.3,9.1,18.3,66,781.9,0,602
11/27/2022 09:50,11/27/2022 15:50,68,88,6.2,8.5,18.1,68,781.9,0,570
11/27/2022 09:40,11/27/2022 15:40,21,71,3.1,8.5,17.9,69,781.9,0,536
11/27/2022 09:30,11/27/2022 15:30,347,2,3.9,7.4,17.6,70,782,0,505
11/27/2022 09:20,11/27/2022 15:20,359,345,4.4,7.4,17.5,71,781.9,0,473
11/27/2022 09:10,11/27/2022 15:10,94,152,2.4,4.5,17.5,70,781.9,0,440
11/27/2022 09:00,11/27/2022 15:00,109,138,4.3,6.8,17,72,781.7,0,406
11/27/2022 08:50,11/27/2022 14:50,93,85,2.2,5.1,16.8,72,781.6,0,369
11/27/2022 08:40,11/27/2022 14:40,243,242,1.9,3.3,15.9,75,781.6,0,333
11/27/2022 08:30,11/27/2022 14:30,218,222,2.7,5.6,15.1,77,781.6,0,282
11/27/2022 08:20,11/27/2022 14:20,240,236,5.1,7.9,14.9,78,781.5,0,229
11/27/2022 08:10,11/27/2022 14:10,273,292,2.9,6.2,14.5,80,781.5,0,212
11/27/2022 08:00,11/27/2022 14:00,277,264,4.2,6.8,13.8,82,781.5,0,185
11/27/2022 07:50,11/27/2022 13:50,266,283,5.8,9.1,13.2,84,781.4,0,150
11/27/2022 07:40,11/27/2022 13:40,272,273,6.2,9.7,12.7,87,781.3,0,112
11/27/2022 07:30,11/27/2022 13:30,280,287,3.4,7.4,12.2,91,781.2,0,75
11/27/2022 07:20,11/27/2022 13:20,284,299,2.8,5.1,11.9,92,781.1,0,43
11/27/2022 07:10,11/27/2022 13:10,337,1,2.4,3.9,11.9,92,780.9,0,15
11/27/2022 07:00,11/27/2022 13:00,2,4,4,5.1,11.9,92,780.8,0,3
11/27/2022 06:50,11/27/2022 12:50,356,348,4.5,6.2,11.9,91,780.7,0,0
11/27/2022 06:40,11/27/2022 12:40,327,309,5.1,7.4,11.9,91,780.6,0,0
11/27/2022 06:30,11/27/2022 12:30,325,324,6,7.9,12,92,780.6,0,0
11/27/2022 06:20,11/27/2022 12:20,356,293,0,0,12.1,92,780.5,0,0
11/27/2022 06:10,11/27/2022 12:10,297,293,2.5,4.5,12,91,780.3,0,0
11/27/2022 06:00,11/27/2022 12:00,259,251,2,4.5,12.2,91,780.3,0,0
11/27/2022 05:50,11/27/2022 11:50,251,253,4.7,5.6,12.3,91,780.2,0,0
11/27/2022 05:40,11/27/2022 11:40,251,249,5.2,6.2,12.5,90,780.2,0,0
11/27/2022 05:30,11/27/2022 11:30,247,247,5.8,7.4,12.4,89,780.2,0,0
11/27/2022 05:20,11/27/2022 11:20,258,243,4.4,7.4,12.2,90,780.2,0,0
11/27/2022 05:10,11/27/2022 11:10,262,272,4,6.2,12.4,89,780.2,0,0
11/27/2022 05:00,11/27/2022 11:00,244,255,4.6,6.8,12.5,89,780.1,0,0
11/27/2022 04:50,11/27/2022 10:50,262,257,5.2,7.9,12.4,89,780.1,0,0
11/27/2022 04:40,11/27/2022 10:40,270,276,4.9,7.4,12.6,89,780.1,0,0
11/27/2022 04:30,11/27/2022 10:30,275,270,4.9,7.9,12.7,88,780.1,0,0
11/27/2022 04:20,11/27/2022 10:20,294,296,6.1,8.5,12.9,87,780.1,0,0
11/27/2022 04:10,11/27/2022 10:10,307,307,7.2,9.1,13.1,88,780.1,0,0
11/27/2022 04:00,11/27/2022 10:00,337,321,3.2,6.8,13.1,88,780.1,0,0
11/27/2022 03:50,11/27/2022 09:50,345,305,0,0,13.1,88,780,0,0
11/27/2022 03:40,11/27/2022 09:40,26,305,0,0,13,87,780,0,0
11/27/2022 03:30,11/27/2022 09:30,16,305,0,0,13.2,85,780,0,0
11/27/2022 03:20,11/27/2022 09:20,311,305,4,6.2,13.4,83,780.1,0,0
11/27/2022 03:10,11/27/2022 09:10,318,306,5.6,6.8,13.4,82,780.1,0,0
11/27/2022 03:00,11/27/2022 09:00,334,323,2.2,5.6,13.3,82,780.1,0,0
11/27/2022 02:50,11/27/2022 08:50,311,295,0,0,13.3,82,780.1,0,0
11/27/2022 02:40,11/27/2022 08:40,292,295,0,0,13.4,80,780.1,0,0
11/27/2022 02:30,11/27/2022 08:30,294,295,0,0,13.7,80,780.3,0,0
11/27/2022 02:20,11/27/2022 08:20,292,295,3.7,5.6,13.8,79,780.3,0,0
11/27/2022 02:10,11/27/2022 08:10,297,308,4.3,5.6,13.8,79,780.3,0,0
11/27/2022 02:00,11/27/2022 08:00,277,268,5.2,7.9,14,78,780.3,0,0
11/27/2022 01:50,11/27/2022 07:50,272,254,4.3,6.2,14.3,78,780.4,0,0
11/27/2022 01:40,11/27/2022 07:40,247,249,6.4,8.5,14.6,75,780.5,0,0
11/27/2022 01:30,11/27/2022 07:30,235,238,5.8,7.4,14.7,76,780.5,0,0
11/27/2022 01:20,11/27/2022 07:20,241,227,7.3,9.1,14.6,77,780.5,0,0
11/27/2022 01:10,11/27/2022 07:10,256,254,6.8,9.1,14.5,77,780.5,0,0
11/27/2022 01:00,11/27/2022 07:00,260,260,7.4,11.4,14.4,78,780.6,0,0
11/27/2022 00:50,11/27/2022 06:50,275,282,6.4,8.5,14.6,79,780.6,0,0
11/27/2022 00:40,11/27/2022 06:40,282,274,5.1,7.9,14.9,80,780.6,0,0
11/27/2022 00:30,11/27/2022 06:30,305,294,3,6.8,15.5,84,780.6,0,0
11/27/2022 00:20,11/27/2022 06:20,231,217,4,7.4,15.9,85,780.6,0,0
11/27/2022 00:10,11/27/2022 06:10,221,198,4.9,7.4,16,84,780.6,0,0
11/27/2022 00:00,11/27/2022 06:00,221,222,4.3,6.8,16,84,780.5,0,0
11/26/2022 23:50,11/27/2022 05:50,218,197,4.1,5.1,16.1,83,780.5,0,0
11/26/2022 23:40,11/27/2022 05:40,213,232,4.2,6.2,16,83,780.4,0,0
11/26/2022 23:30,11/27/2022 05:30,265,245,4.8,7.4,15.9,83,780.4,0,0
11/26/2022 23:20,11/27/2022 05:20,314,321,3.1,5.1,16,80,780.4,0,0
11/26/2022 23:10,11/27/2022 05:10,38,9,0,0,16.3,78,780.4,0,0
11/26/2022 23:00,11/27/2022 05:00,0,9,2.2,3.9,16.4,80,780.3,0,0
11/26/2022 22:50,11/27/2022 04:50,286,349,2.3,4.5,16.6,78,780.3,0,0
11/26/2022 22:40,11/27/2022 04:40,174,202,2.7,5.1,16.6,80,780.3,0,0
11/26/2022 22:30,11/27/2022 04:30,214,223,2.2,4.5,16.8,79,780.3,0,0
11/26/2022 22:20,11/27/2022 04:20,194,228,2.6,4.5,17.1,77,780.2,0,0
11/26/2022 22:10,11/27/2022 04:10,187,161,4.5,7.4,17.3,75,780.1,0,0
11/26/2022 22:00,11/27/2022 04:00,196,213,3.4,6.2,17.4,75,780.1,0,0
11/26/2022 21:50,11/27/2022 03:50,176,160,5.7,10.8,17.4,73,780.1,0,0
11/26/2022 21:40,11/27/2022 03:40,215,187,0,3.9,17.4,71,780.1,0,0
11/26/2022 21:30,11/27/2022 03:30,240,235,2.9,5.6,17.7,67,780,0,0
11/26/2022 21:20,11/27/2022 03:20,237,249,6.7,10.8,17.9,65,780,0,0
11/26/2022 21:10,11/27/2022 03:10,256,255,3.9,7.9,18,60,780,0,0
11/26/2022 21:00,11/27/2022 03:00,216,224,6,11.4,18,59,779.8,0,0
11/26/2022 20:50,11/27/2022 02:50,253,250,6,10.2,18.3,58,779.8,0,0
11/26/2022 20:40,11/27/2022 02:40,217,223,6.3,12,18.5,56,779.7,0,0
11/26/2022 20:30,11/27/2022 02:30,231,223,5.8,8.5,18.7,54,779.6,0,0
11/26/2022 20:20,11/27/2022 02:20,238,236,7.6,12,18.7,54,779.5,0,0
11/26/2022 20:10,11/27/2022 02:10,243,270,6.7,10.8,18.8,55,779.5,0,0
11/26/2022 20:00,11/27/2022 02:00,208,209,5.9,9.7,19,54,779.4,0,0
11/26/2022 19:50,11/27/2022 01:50,215,217,5.7,8.5,19.1,54,779.3,0,0
11/26/2022 19:40,11/27/2022 01:40,234,220,10.5,16.6,19.2,54,779.1,0,0
11/26/2022 19:30,11/27/2022 01:30,246,231,8.7,18.3,19.4,55,779,0,0
11/26/2022 19:20,11/27/2022 01:20,237,236,7.3,12,19.6,55,778.9,0,0
11/26/2022 19:10,11/27/2022 01:10,230,229,8.5,14.3,19.7,56,778.8,0,0
11/26/2022 19:00,11/27/2022 01:00,228,228,12,17.7,20,56,778.7,0,0
11/26/2022 18:50,11/27/2022 00:50,241,238,12.5,22.3,20.4,56,778.7,0,0
11/26/2022 18:40,11/27/2022 00:40,253,254,8.6,12.5,20.7,55,778.6,0,0
11/26/2022 18:30,11/27/2022 00:30,258,299,9.6,15.4,21,53,778.4,0,0
11/26/2022 18:20,11/27/2022 00:20,272,257,8.5,14.3,21.2,52,778.3,0,0
11/26/2022 18:10,11/27/2022 00:10,329,328,7.9,12.5,21.6,49,778.2,0,0
11/26/2022 18:00,11/27/2022 00:00,308,290,9.7,16,22,47,778,0,2
11/26/2022 17:50,11/26/2022 23:50,316,297,11.5,18.3,22.5,44,777.9,0,24
11/26/2022 17:40,11/26/2022 23:40,298,309,9.2,15.4,23.1,42,777.8,0,50
11/26/2022 17:30,11/26/2022 23:30,300,304,6.9,14.3,23.4,41,777.7,0,89
11/26/2022 17:20,11/26/2022 23:20,296,287,8.1,14.9,23.7,39,777.7,0,129
11/26/2022 17:10,11/26/2022 23:10,229,293,6.6,15.4,24,38,777.6,0,152
11/26/2022 17:00,11/26/2022 23:00,235,229,7.4,13.1,24.1,38,777.6,0,190
11/26/2022 16:50,11/26/2022 22:50,240,223,9.8,15.4,24.2,36,777.4,0,226
11/26/2022 16:40,11/26/2022 22:40,254,263,12,20,24.1,37,777.4,0,255
11/26/2022 16:30,11/26/2022 22:30,249,241,11.8,18.3,24,37,777.3,0,289
11/26/2022 16:20,11/26/2022 22:20,256,252,9.3,21.2,24,37,777.4,0,310
11/26/2022 16:10,11/26/2022 22:10,234,218,12.3,21.8,24.4,36,777.4,0,257
11/26/2022 16:00,11/26/2022 22:00,247,235,11.9,22.9,24.7,34,777.4,0,437
11/26/2022 15:50,11/26/2022 21:50,236,237,13.9,21.8,24.6,34,777.5,0,478
11/26/2022 15:40,11/26/2022 21:40,224,239,15.2,25.8,25.1,33,777.5,0,498
11/26/2022 15:30,11/26/2022 21:30,242,252,7.7,17.2,25.2,31,777.6,0,491
11/26/2022 15:20,11/26/2022 21:20,252,255,14.2,28.1,24.9,31,777.6,0,539
11/26/2022 15:10,11/26/2022 21:10,218,221,9.3,20,24.7,31,777.7,0,587
11/26/2022 15:00,11/26/2022 21:00,241,228,12.1,20,25,31,777.7,0,443
11/26/2022 14:50,11/26/2022 20:50,228,232,7.1,16.6,25.3,31,777.7,0,723
11/26/2022 14:40,11/26/2022 20:40,208,234,6.6,16.6,24.9,32,777.8,0,572
11/26/2022 14:30,11/26/2022 20:30,216,198,8.3,15.4,26.3,31,777.9,0,571
11/26/2022 14:20,11/26/2022 20:20,254,251,3.3,7.9,26.6,29,778,0,651
11/26/2022 14:10,11/26/2022 20:10,285,224,4.8,10.2,26,30,778.1,0,694
11/26/2022 14:00,11/26/2022 20:00,264,255,6.2,10.8,25.3,30,778.2,0,742
11/26/2022 13:50,11/26/2022 19:50,95,90,6.5,11.4,24.5,32,778.4,0,778
11/26/2022 13:40,11/26/2022 19:40,220,203,5.9,10.8,24.1,33,778.5,0,787
11/26/2022 13:30,11/26/2022 19:30,144,163,10.4,16,24,33,778.7,0,756
11/26/2022 13:20,11/26/2022 19:20,91,117,7.8,16.6,24.2,34,778.8,0,802
11/26/2022 13:10,11/26/2022 19:10,94,126,6.8,14.9,23.9,35,779.1,0,827
11/26/2022 13:00,11/26/2022 19:00,68,11,7.2,12.5,23.8,36,779.2,0,824
11/26/2022 12:50,11/26/2022 18:50,99,116,8.1,16.6,23.6,36,779.4,0,837
11/26/2022 12:40,11/26/2022 18:40,133,140,8.3,14.3,23.9,36,779.6,0,854
11/26/2022 12:30,11/26/2022 18:30,188,230,4.7,7.4,23.8,36,779.7,0,857
11/26/2022 12:20,11/26/2022 18:20,167,247,5.9,10.2,23,37,779.9,0,868
11/26/2022 12:10,11/26/2022 18:10,26,14,6,11.4,22.5,40,780,0,819
11/26/2022 12:00,11/26/2022 18:00,177,117,6.6,13.1,22.2,41,780.2,0,875
11/26/2022 11:50,11/26/2022 17:50,146,151,9,17.7,22.4,43,780.3,0,871
11/26/2022 11:40,11/26/2022 17:40,139,103,6.7,13.1,21.9,47,780.6,0,856
11/26/2022 11:30,11/26/2022 17:30,109,126,8.3,13.7,21.4,48,780.7,0,848
11/26/2022 11:20,11/26/2022 17:20,83,77,8.1,16,21.1,52,780.9,0,840
11/26/2022 11:10,11/26/2022 17:10,124,93,7.5,13.7,20.7,56,781.1,0,855
11/26/2022 11:00,11/26/2022 17:00,85,91,9.2,15.4,20.6,59,781.2,0,830
11/26/2022 10:50,11/26/2022 16:50,94,116,8,13.7,19.9,64,781.4,0,793
11/26/2022 10:40,11/26/2022 16:40,73,86,8,13.7,19.6,65,781.5,0,726
11/26/2022 10:30,11/26/2022 16:30,100,86,7.7,13.7,19.2,67,781.6,0,635
11/26/2022 10:20,11/26/2022 16:20,48,103,7.4,12.5,19,68,781.7,0,684
11/26/2022 10:10,11/26/2022 16:10,36,27,6,10.2,18.8,70,781.7,0,639
11/26/2022 10:00,11/26/2022 16:00,124,119,8.2,13.7,18.6,71,781.7,0,603
11/26/2022 09:50,11/26/2022 15:50,118,66,7.4,12.5,18.5,72,781.8,0,604
11/26/2022 09:40,11/26/2022 15:40,130,132,7.4,13.1,18.1,74,781.8,0,573
11/26/2022 09:30,11/26/2022 15:30,117,112,6.9,10.8,17.8,76,781.8,0,538
